Docente	SCOPUSID
ANA MARIA PIMENTEL MIZUSAKI	https://www.scopus.com/authid/detail.uri?authorId=6602942837
ANDRE SAMPAIO MEXIAS	https://www.scopus.com/authid/detail.uri?authorId=11739855600
ANDREA RITTER JELINEK	https://www.scopus.com/authid/detail.uri?authorId=6602116500
ARI ROISENBERG	https://www.scopus.com/authid/detail.uri?authorId=13408418600
CARLA CRISTINE PORCHER	https://www.scopus.com/authid/detail.uri?authorId=6701675304
CARLOS AUGUSTO SOMMER	https://www.scopus.com/authid/detail.uri?authorId=8938680300
CESAR LEANDRO SCHULTZ	https://www.scopus.com/authid/detail.uri?authorId=7202476487
EDINEI KOESTER	https://www.scopus.com/authid/detail.uri?authorId=6701418227
EDUARDO GUIMARAES BARBOZA	https://www.scopus.com/authid/detail.uri?authorId=8694684200
ELIRIO ERNESTINO TOLDO JUNIOR	https://www.scopus.com/authid/detail.uri?authorId=6508391972
IRAN CARLOS STALLIVIERE CORREA	https://www.scopus.com/authid/detail.uri?authorId=7004138578
JAIR WESCHENFELDER	https://www.scopus.com/authid/detail.uri?authorId=14523945100
JEFFERSON CARDIA SIMOES	https://www.scopus.com/authid/detail.uri?authorId=7006555395
JOAO CARLOS COIMBRA	https://www.scopus.com/authid/detail.uri?authorId=7004628056
JOSE CARLOS FRANTZ	https://www.scopus.com/authid/detail.uri?authorId=11739533300
JULIANA CHARAO MARQUES	https://www.scopus.com/authid/detail.uri?authorId=7203033302
LAUREN DA CUNHA DUARTE	https://www.scopus.com/authid/detail.uri?authorId=26653360300
LAURO VALENTIM STOLL NARDI	https://www.scopus.com/authid/detail.uri?authorId=7004091545
LEANDRO FARINA	https://www.scopus.com/authid/detail.uri?authorId=7006919306
LEO AFRANEO HARTMANN	https://www.scopus.com/authid/detail.uri?authorId=7201467237
LUIZ FERNANDO DE ROS	https://www.scopus.com/authid/detail.uri?authorId=6603599722
MARCUS VINICIUS DORNELES REMUS	https://www.scopus.com/authid/detail.uri?authorId=6602532744
MARGOT GUERRA SOMMER	https://www.scopus.com/authid/detail.uri?authorId=6602534370
MARIA DE FATIMA APARECIDA SARAIVA BITENCOURT	https://www.scopus.com/authid/detail.uri?authorId=6602796510
MARIA LUIZA CORREA DA CAMARA ROSA	https://www.scopus.com/authid/detail.uri?authorId=36133650900
MARINA BENTO SOARES	https://www.scopus.com/authid/detail.uri?authorId=25947824500
PAULO ALVES DE SOUZA	https://www.scopus.com/authid/detail.uri?authorId=10439076900
ROBERTO IANNUZZI	https://www.scopus.com/authid/detail.uri?authorId=6603970107
ROMMULO VIEIRA CONCEICAO	https://www.scopus.com/authid/detail.uri?authorId=6603361134
SERGIO REBELLO DILLENBURG	https://www.scopus.com/authid/detail.uri?authorId=6506023650
TAIS FREITAS DA SILVA	https://www.scopus.com/authid/detail.uri?authorId=16444375900
