Docente	Google Sholar
ANDRE SAMPAIO MEXIAS	https://scholar.google.com.br/citations?user=Aq4BxEcAAAAJ&hl=pt-BR
CESAR LEANDRO SCHULTZ	https://scholar.google.com.br/citations?user=y2PN_WoAAAAJ&hl=pt-BR
EDINEI KOESTER	https://scholar.google.com.br/citations?user=jxbaEqsAAAAJ&hl=pt-BR
EDUARDO GUIMARAES BARBOZA	https://scholar.google.com.br/citations?user=g5YJAo4AAAAJ&hl=pt-BR
ELIRIO ERNESTINO TOLDO JUNIOR	https://scholar.google.com.br/citations?user=BWD-a38AAAAJ&hl=pt-BR
JAIR WESCHENFELDER	https://scholar.google.com.br/citations?user=doGCocMAAAAJ&hl=pt-BR
LAURO VALENTIM STOLL NARDI	https://scholar.google.com.br/citations?user=Mcc-VfQAAAAJ&hl=pt-BR
JAIRO FRANCISCO SAVIAN	https://scholar.google.com.br/citations?user=oDjRX88AAAAJ&hl=pt-BR
MARIA LUIZA CORREA DA CAMARA ROSA	https://scholar.google.com.br/citations?user=5RoYIu8AAAAJ&hl=pt-BR
MARINA BENTO SOARES	https://scholar.google.com.br/citations?user=F69vB1sAAAAJ&hl=pt-BR
KARIN GOLDBERG	https://scholar.google.com.br/citations?user=h5LlFUQAAAAJ&hl=pt-BR
ROMMULO VIEIRA CONCEICAO	https://scholar.google.com.br/citations?user=5fXKoLIAAAAJ&hl=pt-BR
RUY PAULO PHILIPP	https://scholar.google.com.br/citations?user=DeYhQxwAAAAJ&hl=pt-BR
SERGIO REBELLO DILLENBURG	https://scholar.google.com.br/citations?user=s_ZS_XAAAAAJ&hl=pt-BR
PAULO ALVES DE SOUZA	https://scholar.google.com.br/citations?user=3ccexqQAAAAJ&hl=pt-BR
