ResearcherID	Total in Pub. List	With Citation Data	Sum of Times Cited	Average Citations/Article	H-index	Verified Reviews
Q-4110-2018	NA	NA	NA	NA	NA	NA
F-7918-2013	NA	NA	NA	NA	NA	NA
G-4559-2012	NA	NA	NA	NA	NA	NA
N-8687-2013	NA	NA	NA	NA	NA	NA
I-4127-2013	NA	NA	NA	NA	NA	NA
R-1419-2018 	NA	NA	NA	NA	NA	NA
Q-9077-2018	NA	NA	NA	NA	NA	NA
L-3684-2017	NA	NA	NA	NA	NA	NA
C-7579-2012	NA	NA	NA	NA	NA	NA
F-6382-2012	NA	NA	NA	NA	NA	NA
G-5911-2012	NA	NA	NA	NA	NA	NA
C-3390-2013	NA	NA	NA	NA	NA	NA
D-7232-2013	NA	NA	NA	NA	NA	NA
H-7500-2013	NA	NA	NA	NA	NA	NA
R-1953-2018 	NA	NA	NA	NA	NA	NA
R-1965-2018 	NA	NA	NA	NA	NA	NA
Q-7986-2018	NA	NA	NA	NA	NA	NA
P-7616-2018	NA	NA	NA	NA	NA	NA
Q-5439-2018	NA	NA	NA	NA	NA	NA
Q-5602-2018	NA	NA	NA	NA	NA	NA
D-7663-2013	NA	NA	NA	NA	NA	NA
C-4951-2013	NA	NA	NA	NA	NA	NA
H-8957-2016	NA	NA	NA	NA	NA	NA
A-2816-2013	NA	NA	NA	NA	NA	NA
M-9477-2017	NA	NA	NA	NA	NA	NA
C-7429-2013	NA	NA	NA	NA	NA	NA
O-9779-2018	NA	NA	NA	NA	NA	NA
G-3641-2012	NA	NA	NA	NA	NA	NA
D-6030-2014	NA	NA	NA	NA	NA	NA
C-4027-2013	NA	NA	NA	NA	NA	NA
Q-2914-2018	NA	NA	NA	NA	NA	NA
